E,px,py,pz
867.33,93.55,-3.35,702.49
668.11,-133.54,8.13,422.46
964.0,-134.58,171.07,794.94
1096.92,-79.92,276.19,-933.04
626.81,-80.63,-266.59,255.59
938.29,24.46,-47.05,792.19
1782.43,12.79,-133.65,1705.59
568.85,-241.93,-50.47,-111.87
1003.82,817.62,209.2,213.05
1031.12,328.17,-487.25,684.18
865.71,-37.89,-94.36,699.37
1138.22,-337.26,104.33,959.65
590.42,303.26,-31.12,75.25
601.38,-52.85,-325.41,-54.47
612.05,10.09,-76.33,344.49
715.68,7.07,89.54,-504.12
661.55,163.74,-49.3,-398.0
1106.82,250.83,-173.33,939.2
691.82,112.0,19.2,464.43
989.03,231.18,12.39,821.33
1868.6,44.05,88.19,1797.76
586.86,107.29,212.77,193.97
1525.9,-261.4,163.82,-1408.26
2071.41,36.94,95.33,2007.56
1160.75,-331.72,-49.11,992.42
529.96,-156.85,-35.0,-70.95
550.38,129.23,-132.63,136.47
769.85,-245.75,-107.72,520.27
1682.51,98.83,-180.47,-1593.27
1565.9,494.43,-65.77,1397.59
894.81,-57.68,171.97,719.57
622.21,81.87,-303.99,-195.02
1055.41,-385.98,-245.72,809.03
896.46,276.15,-333.67,605.02
772.38,195.83,-149.77,-534.59
974.98,-23.22,-603.33,579.69
819.21,66.3,123.48,-633.61
1276.4,555.64,327.03,-981.59
614.2,-96.07,-337.74,62.82
951.23,190.38,222.43,754.4
719.13,169.28,281.64,398.96
869.26,81.38,-80.34,701.81
1571.64,-806.13,-500.48,-1148.79
863.5,-198.54,-620.71,-266.32
947.06,-264.57,143.89,-745.8
852.72,-9.68,36.17,689.73
1676.62,295.3,-125.54,1567.83
541.8,-4.23,-90.85,187.81
509.51,-30.21,17.47,91.54
1350.9,6.31,260.74,1227.56
1236.61,136.01,129.75,1115.28
548.07,-82.05,-99.53,-183.69
727.02,262.2,-258.1,378.4
938.66,-117.48,766.14,174.11
1544.69,-207.0,332.77,1408.0
824.55,59.61,-362.27,543.23
1298.93,-211.91,121.21,1173.72
1754.35,535.67,249.37,1574.37
794.27,-313.43,-375.58,-376.25
618.62,-325.2,151.77,-62.42
698.24,18.36,-14.5,-486.82
741.63,-69.54,80.27,537.35
589.88,-169.97,70.04,253.31
629.77,-30.26,226.29,307.39
1834.78,236.92,-174.81,1740.61
991.33,-42.59,-35.29,854.22
622.2,3.54,-115.9,-351.69
772.63,51.69,116.02,-575.18
667.05,96.79,-147.41,-404.8
838.18,131.61,-358.62,553.72
1012.74,-11.14,-39.56,-879.75
1236.25,-73.43,-7.82,1128.21
875.14,446.1,33.74,561.9
1472.61,-214.0,24.54,1368.27
802.61,478.38,147.43,378.93
2113.05,-120.79,-171.12,-2042.33
1541.3,1051.51,152.21,998.39
602.93,-223.63,-180.57,-175.81
717.1,-95.82,155.91,-480.35
1338.32,433.4,-491.74,-1054.26
594.7,-48.99,-88.48,305.68
676.91,89.49,-220.09,-389.56
812.91,63.64,47.74,636.0
649.39,-77.61,36.53,-405.4
2010.73,136.88,-457.19,-1888.2
777.12,522.49,67.8,276.26
1760.37,-35.45,37.5,1687.08
2198.22,-138.16,340.92,2108.76
907.57,-135.45,295.92,683.93
1581.52,-879.08,32.0,1215.48
828.41,-404.95,-372.64,365.25
1166.53,63.28,304.74,-1006.94
781.85,-5.29,239.4,551.31
1265.64,-64.79,50.59,1159.78
899.96,-18.8,-140.33,-734.76
1114.17,385.19,364.27,842.8
2124.75,-315.7,-114.4,2037.6
849.76,-192.5,439.44,-491.86
540.95,114.74,-156.46,-70.58
828.92,307.5,-133.96,569.74
964.78,367.1,-231.51,701.74
525.35,-137.88,81.19,19.68
795.94,13.1,189.7,589.37
768.55,171.23,532.6,166.4
839.25,-135.01,432.62,-498.95
722.1,218.18,-310.91,-356.6
2257.26,-95.7,64.14,2198.17
678.15,-257.63,-50.12,375.5
1069.72,-4.38,-171.96,929.9
679.27,291.58,14.44,355.22
853.15,-122.24,155.05,662.48
566.79,90.03,186.14,-168.82
876.24,258.08,225.4,632.76
735.49,-37.39,-127.48,522.77
1149.35,321.13,-39.13,983.03
704.44,46.07,153.64,469.58
1300.17,288.39,22.39,-1164.81
542.33,116.2,-170.47,-39.54
638.87,-95.76,-43.88,383.48
2139.01,-604.92,-476.56,1931.92
881.03,21.07,124.38,714.35
911.81,-81.54,757.58,28.61
2392.02,-1160.04,372.03,1996.91
769.2,180.46,-129.25,540.74
1366.66,-546.3,-311.46,1105.58
1232.46,-233.28,-218.68,-1080.15
1220.01,-160.07,285.59,-1063.6
844.47,443.89,80.04,509.6
895.77,-309.23,-55.13,-673.6
1884.58,-186.22,7.33,1807.46
993.88,-488.03,213.78,-673.73
1369.09,97.55,-206.02,1253.97
570.1,129.34,74.27,229.71
944.63,-160.31,-178.43,764.71
880.93,425.62,44.44,-585.59
1666.98,-205.49,-79.17,1574.91
1726.82,-198.22,469.6,1572.29
1158.14,-20.18,3.06,1044.45
1385.91,-78.99,-37.3,1289.62
704.71,-73.52,-460.48,-170.78
562.54,-231.63,-112.78,9.06
1340.02,-25.91,-441.77,-1161.82
876.03,-159.07,-89.21,695.81
1222.75,-357.46,167.02,1043.76
996.34,323.09,-356.17,715.16
900.38,23.52,-57.8,746.19
630.88,145.47,19.47,-355.62
708.32,215.67,97.68,-442.34
505.68,-23.98,70.61,-12.33
792.38,-62.54,-164.64,588.94
549.22,153.79,-135.34,98.35
788.52,236.9,492.55,-270.25
851.19,213.45,69.5,651.26
1162.36,525.26,-497.09,760.32
826.77,-66.17,24.35,-654.66
677.67,150.98,123.28,-413.81
667.67,-166.3,276.58,302.7
2108.27,-241.81,80.85,2032.18
2049.26,485.55,85.44,1925.2
778.37,-18.43,148.8,577.39
1403.02,282.64,397.23,-1216.87
547.04,120.26,-44.74,-181.07
905.29,68.55,-109.03,743.61
1087.37,167.59,73.77,948.08
697.28,-87.53,14.52,-477.84
971.22,-102.89,-826.06,17.51
551.96,111.63,-171.6,112.9
1054.31,-190.16,-392.43,-819.39
1086.15,124.16,-64.79,953.99
1154.58,7.08,85.1,-1037.19
1168.32,26.06,-143.28,-1045.83
2406.81,-341.14,151.16,-2324.54
540.9,-22.01,-17.35,-204.43
1829.69,798.58,706.52,1400.31
1143.88,-124.67,357.88,-956.47
1084.63,144.38,-142.96,940.82
1484.9,58.45,-119.39,1391.86
1094.03,85.17,-197.06,949.11
1606.0,248.09,-228.54,1488.45
1323.78,-347.33,-193.05,1159.52
1606.17,341.11,689.03,1318.58
613.58,-209.22,243.7,152.71
1686.7,688.81,-295.69,1425.85
1016.6,-233.4,188.99,832.63
803.92,-18.33,317.67,543.18
1064.37,-504.58,624.93,487.59
913.83,-759.2,-25.92,-89.63
948.86,326.79,11.8,737.15
658.33,-327.54,208.63,-180.53
1395.88,25.43,181.93,-1290.24
1008.4,-395.0,-270.51,733.26
1402.1,108.53,-158.7,1295.73
836.23,211.82,-217.66,597.52
955.78,-36.97,-215.36,784.7
931.48,176.08,64.88,763.18
887.64,92.66,140.14,713.92
