EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
41,2,1,5.05,-2.348514828,-8.48,603.75,-121.55,-123.54,-290.65
41,3,2,8.85,1.7587578359999998,-53.56,910.49,-23.04,121.95,-750.72
41,3,1,8.85,-2.3485886039999997,-14.88,603.75,-121.55,-123.54,-290.65
41,4,2,12.25,1.7591825300000001,-74.2,910.49,-23.04,121.95,-750.72
41,4,1,12.25,-2.348569902,-20.6,603.75,-121.55,-123.54,-290.65
41,5,2,29.9,1.761285168,-181.4,910.49,-23.04,121.95,-750.72
41,5,1,29.9,-2.349744768,-50.44,603.75,-121.55,-123.54,-290.65
41,6,2,37.1,1.7621346776000002,-225.28,910.49,-23.04,121.95,-750.72
41,6,1,37.1,-2.3501238648,-62.64,603.75,-121.55,-123.54,-290.65
41,7,2,44.3,1.7630872167999998,-269.2,910.49,-23.04,121.95,-750.72
41,7,1,44.3,-2.350450375,-74.92,603.75,-121.55,-123.54,-290.65
41,8,2,51.4,1.7639660493,-312.56,910.49,-23.04,121.95,-750.72
41,8,1,51.4,-2.3508963659999997,-87.04,603.75,-121.55,-123.54,-290.65
43,1,2,3.1,-2.0741894,-33.480000000000004,2706.15,-118.33,-215.23,-2648.19
43,1,1,3.1,0.9225788,-13.280000000000001,1212.25,151.59,199.98,-1075.45
43,2,2,5.05,-2.073267306,-54.480000000000004,2706.15,-118.33,-215.23,-2648.19
43,2,1,5.05,0.921782169,-21.64,1212.25,151.59,199.98,-1075.45
43,3,2,8.85,-2.0734472399999997,-95.4,2706.15,-118.33,-215.23,-2648.19
43,3,1,8.85,0.922034304,-37.96,1212.25,151.59,199.98,-1075.45
43,4,2,12.25,-2.0734680400000003,-132.08,2706.15,-118.33,-215.23,-2648.19
43,4,1,12.25,0.922040217,-52.56,1212.25,151.59,199.98,-1075.45
43,5,2,29.9,-2.07296976,-322.68,2706.15,-118.33,-215.23,-2648.19
43,5,1,29.9,0.921749472,-128.44,1212.25,151.59,199.98,-1075.45
43,6,2,37.1,-2.0729001598,-400.48,2706.15,-118.33,-215.23,-2648.19
43,6,1,37.1,0.9215740752,-159.48,1212.25,151.59,199.98,-1075.45
43,7,2,44.3,-2.0727710457999997,-478.40000000000003,2706.15,-118.33,-215.23,-2648.19
43,7,1,44.3,0.9215300458,-190.52,1212.25,151.59,199.98,-1075.45
43,8,2,51.4,-2.0726782986,-555.16,2706.15,-118.33,-215.23,-2648.19
43,8,1,51.4,0.9213740991,-221.24,1212.25,151.59,199.98,-1075.45
47,1,2,3.1,-1.7451578,0.24,649.19,-71.84,-406.59,31.16
47,1,1,3.1,1.6177387,0.44,676.13,-20.8,449.8,66.33
47,2,2,5.05,-1.7455445369999998,0.4,649.19,-71.84,-406.59,31.16
47,2,1,5.05,1.6168316669999998,0.76,676.13,-20.8,449.8,66.33
47,3,2,8.85,-1.74576348,0.68,649.19,-71.84,-406.59,31.16
47,3,1,8.85,1.616949864,1.32,676.13,-20.8,449.8,66.33
47,4,2,12.25,-1.7457131510000001,0.92,649.19,-71.84,-406.59,31.16
47,4,1,12.25,1.617141806,1.8,676.13,-20.8,449.8,66.33
47,5,2,29.9,-1.745592912,2.24,649.19,-71.84,-406.59,31.16
47,5,1,29.9,1.616870928,4.4,676.13,-20.8,449.8,66.33
47,6,2,37.1,-1.7455470774000001,2.8000000000000003,649.19,-71.84,-406.59,31.16
47,6,1,37.1,1.6168786206,5.48,676.13,-20.8,449.8,66.33
47,7,2,44.3,-1.7455116041999998,3.36,649.19,-71.84,-406.59,31.16
47,7,1,44.3,1.6168028603999998,6.5200000000000005,676.13,-20.8,449.8,66.33
47,8,2,51.4,-1.7454446372999999,3.88,649.19,-71.84,-406.59,31.16
47,8,1,51.4,1.6167869717999999,7.5600000000000005,676.13,-20.8,449.8,66.33
50,1,2,3.1,-1.596771,-3.92,598.85,-5.45,-204.63,-258.29
50,1,1,3.1,1.3693521,2.08,568.72,44.97,221.13,150.06
50,2,2,5.05,-1.5970296869999998,-6.36,598.85,-5.45,-204.63,-258.29
50,2,1,5.05,1.3702970159999999,3.36,568.72,44.97,221.13,150.06
50,3,2,8.85,-1.597175844,-11.16,598.85,-5.45,-204.63,-258.29
50,3,1,8.85,1.3700571,5.88,568.72,44.97,221.13,150.06
50,4,2,12.25,-1.597141819,-15.48,598.85,-5.45,-204.63,-258.29
50,4,1,12.25,1.369795028,8.16,568.72,44.97,221.13,150.06
50,5,2,29.9,-1.596743904,-37.76,598.85,-5.45,-204.63,-258.29
50,5,1,29.9,1.36966104,19.88,568.72,44.97,221.13,150.06
50,6,2,37.1,-1.5966252524000002,-46.84,598.85,-5.45,-204.63,-258.29
50,6,1,37.1,1.3694392806000002,24.64,568.72,44.97,221.13,150.06
50,7,2,44.3,-1.5964642694,-55.92,598.85,-5.45,-204.63,-258.29
50,7,1,44.3,1.3693627947999998,29.44,568.72,44.97,221.13,150.06
50,8,2,51.4,-1.5962811228,-64.92,598.85,-5.45,-204.63,-258.29
50,8,1,51.4,1.3691953821,34.12,568.72,44.97,221.13,150.06
51,1,1,3.1,-2.8677362,0.8,539.94,-190.13,-53.49,50.25
51,1,2,3.1,0.5725795,2.44,577.73,191.64,123.39,178.39
51,2,1,5.05,-2.867326704,1.28,539.94,-190.13,-53.49,50.25
51,2,2,5.05,0.572277222,3.96,577.73,191.64,123.39,178.39
51,3,1,8.85,-2.8677978719999997,2.24,539.94,-190.13,-53.49,50.25
51,3,2,8.85,0.5723166359999999,6.92,577.73,191.64,123.39,178.39
51,4,1,12.25,-2.867753238,3.12,539.94,-190.13,-53.49,50.25
51,4,2,12.25,0.572244526,9.6,577.73,191.64,123.39,178.39
51,5,1,29.9,-2.8683852,7.68,539.94,-190.13,-53.49,50.25
51,5,2,29.9,0.572767344,23.44,577.73,191.64,123.39,178.39
51,6,1,37.1,-2.8685551042000004,9.52,539.94,-190.13,-53.49,50.25
51,6,2,37.1,0.5729595384,29.080000000000002,577.73,191.64,123.39,178.39
51,7,1,44.3,-2.8688158226,11.4,539.94,-190.13,-53.49,50.25
51,7,2,44.3,0.5731645192,34.76,577.73,191.64,123.39,178.39
51,8,1,51.4,-2.8690990145999997,13.24,539.94,-190.13,-53.49,50.25
51,8,2,51.4,0.5733699971999999,40.32,577.73,191.64,123.39,178.39
52,1,1,3.1,1.0241915,1.36,884.11,346.13,569.21,296.37
52,1,2,3.1,-2.09677,3.2800000000000002,1140.35,-352.78,-607.72,746.06
52,2,1,5.05,1.024752465,2.24,884.11,346.13,569.21,296.37
52,2,2,5.05,-2.097029682,5.36,1140.35,-352.78,-607.72,746.06
52,3,1,8.85,1.024294236,3.96,884.11,346.13,569.21,296.37
52,3,2,8.85,-2.096611092,9.4,1140.35,-352.78,-607.72,746.06
52,4,1,12.25,1.02448913,5.44,884.11,346.13,569.21,296.37
